scenario,week,p05,p10,p25,p50,p75,p90,p95
easing_narrowing,2,5.86193447504794,5.940734696334804,6.060987129734313,6.20435047451806,6.345410131975581,6.474119311013176,6.5625750721847
easing_narrowing,3,5.769504933000536,5.854391082357158,6.0054043154250145,6.185907563564132,6.365680215352645,6.523426184382362,6.617973161648511
easing_narrowing,4,5.680263142742191,5.78662496849655,5.963509408288791,6.169880718459691,6.37213944763423,6.555570295227661,6.669722999345666
easing_narrowing,5,5.606307502201384,5.726050982425724,5.920072314783674,6.150692857102344,6.379983084364573,6.582163868273901,6.718088345582628
easing_narrowing,6,5.552467090679996,5.669064452573072,5.884040052322946,6.12750682944871,6.383970095802241,6.596910808255142,6.726963042520746
easing_narrowing,7,5.490138836543855,5.621918397237112,5.842662098538767,6.111319948058389,6.386306667599573,6.62107713572424,6.757946953522272
easing_narrowing,8,5.438225880416156,5.565220760288073,5.805911289040914,6.096944728066369,6.378345426299263,6.632782385375172,6.794592075311144
easing_narrowing,9,5.3685051435632465,5.517026486850032,5.770628018066027,6.0750990938237495,6.374729952641335,6.643906476198423,6.809709582590241
easing_narrowing,10,5.303278896729089,5.469454104908519,5.734812639890219,6.056175822846638,6.375184135069475,6.6592897634815,6.842209320590138
easing_narrowing,11,5.256010553758635,5.423200142084394,5.7103188461873815,6.048586798096862,6.361391508526534,6.667668449219301,6.845383225611909
easing_narrowing,12,5.211032832635221,5.382846530321166,5.6799021218502155,6.025565984728745,6.359325407112748,6.676902989485149,6.864392698158028
easing_narrowing,13,5.16266604030304,5.331669050339993,5.640404129806502,6.009998541703783,6.352902666625426,6.683418603096193,6.8869201628312045
easing_narrowing,14,5.108846695893081,5.2900771492269785,5.611744335040795,5.988589288698119,6.349074219790431,6.702551514742032,6.896608589747556
easing_narrowing,15,5.0556438524027625,5.2614632609062655,5.584306717883931,5.968231272204081,6.344251162404852,6.701033789064268,6.927569797046462
easing_narrowing,16,5.009604101265198,5.21904959884729,5.556802713498457,5.949025224123224,6.348260747854707,6.702497424603923,6.922457395922919
easing_narrowing,17,4.963604091743763,5.187517199379488,5.544946917464367,5.9293410007671685,6.342473805990695,6.71902899764274,6.943220064179288
easing_narrowing,18,4.914038548383443,5.145893199585687,5.512905676213537,5.917973760302218,6.329627406220065,6.715153999786913,6.94362403005949
easing_narrowing,19,4.856482299296432,5.102986379797507,5.497382035877518,5.893965501203426,6.321725585453729,6.71283467359811,6.948820718045247
easing_narrowing,20,4.842332000254788,5.075167967402077,5.464897695057265,5.886488309876943,6.29818598851724,6.726473922985101,6.961120269482399
easing_narrowing,21,4.811132308159454,5.044709217699193,5.438766019340093,5.8646661117428796,6.298034524916293,6.719034518044444,6.946348019383707
easing_narrowing,22,4.778944172067025,5.0197404102342915,5.402797781238899,5.849404239589867,6.2915530021442265,6.703715734222923,6.946978281314557
easing_narrowing,23,4.743923037456218,4.9913520421560555,5.389089092391328,5.822592290051023,6.2780996543845315,6.70426110654873,6.947727804464449
easing_narrowing,24,4.712235399616296,4.952604983406122,5.367783469091717,5.805945475541497,6.263581777372463,6.691235088680885,6.949583346069292
easing_narrowing,25,4.6831533148757885,4.929760781244558,5.341972560605495,5.796097675219102,6.262003486466117,6.695355792861522,6.9458624470757595
easing_narrowing,26,4.634082899809674,4.90060962574209,5.318154535076349,5.79054078228331,6.243403454901021,6.686200999626123,6.95886669407822
easing_narrowing,27,4.607038014327105,4.882234160925275,5.303725512477789,5.771763474230251,6.240390768051731,6.685191452038764,6.967002797939181
easing_narrowing,28,4.57774933106129,4.836033273823167,5.277588714242008,5.762780490534867,6.243179177403147,6.686739331739015,6.966730433079043
easing_narrowing,29,4.545623392143951,4.806352158465027,5.26919655910955,5.751060327805065,6.228564156753263,6.676920760312864,6.97046905979561
easing_narrowing,30,4.49594724671914,4.788998578691517,5.23655773488576,5.740626125545076,6.222716584119308,6.674864528749977,6.955689615351943
easing_narrowing,31,4.476999141224112,4.765352340143477,5.2212913103192715,5.717412954010538,6.212027622826695,6.667865702090878,6.951321267208731
easing_narrowing,32,4.453196123988311,4.743135285408853,5.189318012987321,5.699394038672328,6.206786285504621,6.670005074603599,6.948935045901809
easing_narrowing,33,4.45580840697193,4.7112726225154,5.182942260647561,5.683828391798505,6.201051564369176,6.6553135688823994,6.93979282232844
easing_narrowing,34,4.408327977634264,4.695916214958966,5.150346511752431,5.668667756132757,6.19691323816911,6.662605272393065,6.947438084476933
easing_narrowing,35,4.400721795770613,4.670309193488828,5.120291451107159,5.661861832961611,6.175834801390482,6.651891586315217,6.946009332092109
easing_narrowing,36,4.370348710685592,4.655708202502215,5.10960963935557,5.641284692525046,6.173298706676065,6.641579441648708,6.956292063518342
easing_narrowing,37,4.341298293180625,4.640240151398376,5.099603333512642,5.633307520164262,6.166346156673161,6.631644990954118,6.952010520978192
easing_narrowing,38,4.321663270564257,4.614857577283407,5.078506296999702,5.614880067251704,6.164881373556744,6.629808930993779,6.963288149876131
easing_narrowing,39,4.3181785521920055,4.5970842563675625,5.062199168733062,5.601610640926967,6.153070109352524,6.635082283184916,6.958169542814341
easing_narrowing,40,4.281701577743691,4.575257125703197,5.04873816960111,5.59603023617326,6.149387200213117,6.6281778395125945,6.981354333419941
easing_narrowing,41,4.271336796906974,4.546365980526168,5.040131269814561,5.570826533868368,6.136303888410703,6.624041610188611,6.9658550979936305
easing_narrowing,42,4.234781662235762,4.509702072624148,5.00854290883894,5.565120042753969,6.119415751610681,6.629479108059719,6.9378719036206
easing_narrowing,43,4.212467221378489,4.501658887303541,4.9940787964767495,5.556190038321269,6.106052413873344,6.639716103956764,6.932173753168179
easing_narrowing,44,4.2027635833298564,4.493713138501418,4.984657023419011,5.5428743710399715,6.106564910835049,6.628523651956769,6.943616885845295
easing_narrowing,45,4.195607390063072,4.47898456164461,4.969078611796247,5.535529800356768,6.105305756405984,6.622838522543893,6.94911072307703
easing_narrowing,46,4.157455130672182,4.459544046498211,4.941188965561004,5.520110919989609,6.099399168294653,6.611315683111431,6.9362412972059655
easing_narrowing,47,4.132158535332579,4.433416018228637,4.936899158352495,5.51354323450817,6.08903202943452,6.610628276435852,6.945322413206409
easing_narrowing,48,4.102721403104961,4.409603568948774,4.922017103258619,5.511881372178085,6.079523038366995,6.622685198564282,6.933017187268864
easing_narrowing,49,4.067706355921616,4.398130258170341,4.902986789652801,5.502258114566612,6.063951858506238,6.606268253631491,6.9159422771493775
easing_narrowing,50,4.068692273818593,4.380991074472089,4.882017657849211,5.48330794566081,6.067231267789545,6.587465018736528,6.913426907633872
easing_narrowing,51,4.051030566436154,4.368961028736417,4.8725216381448595,5.47318375507805,6.053864693683053,6.594214803846533,6.900222551416705
easing_narrowing,52,4.0080411959841875,4.3398668849177735,4.861986954861276,5.470045902363818,6.050880228217565,6.582694190984266,6.882878513821583
rate_shock_down,1,5.939022588139691,5.9968654956465635,6.1065411603689945,6.231177074293889,6.349645820184216,6.4591496337382495,6.529927250824635
rate_shock_down,2,5.7809359294165485,5.877247310989382,6.024222507366561,6.199444373213362,6.371850621216998,6.529161840040727,6.637274437028145
rate_shock_down,3,5.667880741107644,5.771630479210181,5.9562022085153385,6.1768172895742595,6.396539419537998,6.589340048352096,6.704897465010723
rate_shock_down,4,5.558269933490904,5.688267720524012,5.904459813603416,6.156691414923404,6.403896528358952,6.628089786528702,6.767609758228486
rate_shock_down,5,5.466952534744162,5.613305677240576,5.850442861233626,6.132312412956445,6.412556024054727,6.659665871055014,6.825795787765681
rate_shock_down,6,5.399923221488781,5.542431108246984,5.805179063496829,6.102749568872765,6.416204672193747,6.676465542969515,6.835418273738587
rate_shock_down,7,5.322284330113513,5.483348237627494,5.753146094773961,6.081505688631276,6.417600568070505,6.704542251333986,6.871827584198248
rate_shock_down,8,5.2571873054819855,5.412403269769883,5.706580582690022,6.062288119276688,6.40622230600578,6.717200811543004,6.914968210353635
rate_shock_down,9,5.170173032503516,5.35169911874292,5.661656545784693,6.033787860599687,6.400003354710067,6.728996883502063,6.931645124647621
rate_shock_down,10,5.088527045754374,5.291630077973675,5.61595717628464,6.008734399898042,6.398633448170399,6.745873660673985,6.9694420082512085
rate_shock_down,11,5.028725432603295,5.23306826277922,5.58399112334954,5.997429731238903,6.379746599541838,6.754085082610777,6.971292031535074
rate_shock_down,12,4.971635335669191,5.181629855063124,5.544697800265295,5.967175854894608,6.375104037808391,6.7632544162635435,6.992408504641511
rate_shock_down,13,4.910327395566828,5.116886630056438,5.494229504959948,5.945956008389958,6.365061049960857,6.769024972314016,7.017749100879027
rate_shock_down,14,4.842289407495654,5.063793294903751,5.456942077565083,5.917530354257367,6.35812304781464,6.790150852755483,7.027331722206677
rate_shock_down,15,4.774946933837076,5.026503988674691,5.421090436091841,5.8903315580386915,6.349911423839634,6.7859790786455845,7.062856421734931
rate_shock_down,16,4.716307691975827,4.972296633465047,5.3851059958164775,5.864489064357857,6.352443593363002,6.785399531612044,7.054239496557486
rate_shock_down,17,4.657670556211689,4.931342132210908,5.368200676536873,5.838015667240295,6.342955762513494,6.803189885643773,7.077201189188441
rate_shock_down,18,4.594633408197217,4.8780113152221825,5.3265821199895536,5.821665333875719,6.32479756777531,6.795996737690346,7.075237885801275
rate_shock_down,19,4.521791375665615,4.823074140722484,5.3051132759313875,5.789826400218608,6.3126442809689784,6.790666499812109,7.07909388746972
rate_shock_down,20,4.501965758936215,4.786543052116237,5.262879385917023,5.77815680402996,6.2813428557014355,6.80480588671771,7.09159586576996
