scenario,week,p05,p10,p25,p50,p75,p90,p95
financial_stress,48,4.841830598157479,5.228328944842046,5.87512619547378,6.602871422553751,7.357359563205549,8.030809578349572,8.402946556415715
financial_stress,49,4.827068285117514,5.214947060143316,5.879996855909502,6.60744218333414,7.37855853592721,8.026265088023445,8.383201795437053
financial_stress,50,4.793062892633967,5.232476801763238,5.885385304858065,6.620423738893272,7.371386335574658,7.999394088717009,8.417270362789917
financial_stress,51,4.823453116334042,5.216109849286739,5.884747638900335,6.596552829646053,7.362073812476769,7.993879644957654,8.42497492992074
financial_stress,52,4.8335786730102965,5.219569725871971,5.897476782376099,6.605561910129507,7.35637125714212,8.014521275285128,8.407075966049295
higher_for_longer,1,6.010276089057126,6.070375855101727,6.173268404684393,6.291026136556592,6.415166124123579,6.519713008532797,6.57696983384564
higher_for_longer,2,5.906632355861906,5.998814200095759,6.147179305777831,6.324510780663491,6.495693667589475,6.646856907280671,6.743342687124622
higher_for_longer,3,5.849851499213651,5.9563677909715205,6.139559640217428,6.351573911635173,6.562015650343758,6.742313348078001,6.863063067266218
higher_for_longer,4,5.806349410711142,5.93639657935467,6.145382922540262,6.381760519246604,6.624087562893967,6.841106480772176,6.97877215413252
higher_for_longer,5,5.783237330357749,5.9172638965962,6.147573721363239,6.411931664657592,6.6782777843702075,6.915881904255221,7.075929016569403
higher_for_longer,6,5.751053162719321,5.899084549972972,6.15427483539378,6.432899141744899,6.739348981543657,6.987809375718993,7.150835271491535
higher_for_longer,7,5.73556392103769,5.892309687529748,6.158788352773916,6.465263845858971,6.773958932729878,7.046673119381658,7.219460134642233
higher_for_longer,8,5.726614348270319,5.880366321727322,6.16483804888934,6.4900551395440615,6.809313909029248,7.114746889513357,7.277799565269356
higher_for_longer,9,5.713071187998194,5.8798167037967115,6.176860244995424,6.512258446380449,6.857408901134357,7.163508890436896,7.333730192199753
higher_for_longer,10,5.690604797141118,5.869743156876537,6.188596105216119,6.531880200743373,6.889989514511578,7.2124430409703395,7.386406200912041
higher_for_longer,11,5.68129382828814,5.878666575155892,6.200520488556613,6.561419277754926,6.935292693805058,7.249122349761127,7.426718498978599
higher_for_longer,12,5.667208023096263,5.882666356320321,6.207603445301346,6.5726938829122155,6.961044197748814,7.289905734570279,7.491045204178443
higher_for_longer,13,5.689391082749539,5.885595949094801,6.2274587639872045,6.591799820411396,6.987003582778902,7.330963008204144,7.526553552316492
higher_for_longer,14,5.689257136322174,5.910339962054445,6.249998812782869,6.616598760340175,7.019921907997569,7.368026470523708,7.563835026868833
higher_for_longer,15,5.705292612844277,5.910757174180928,6.2572548219084,6.643964599938067,7.040268001995428,7.407755817929529,7.6103907757802025
higher_for_longer,16,5.686865203693898,5.917149355687618,6.259984919780795,6.668263686288953,7.0692452514491,7.432130106912856,7.6443292327920975
higher_for_longer,17,5.695860123680831,5.923914193610028,6.284678291852042,6.69034385464596,7.097176453355018,7.473714772409211,7.6956125954441355
higher_for_longer,18,5.685797567726981,5.9038773063421655,6.287358236923791,6.709259639372231,7.117585441688822,7.48320141432039,7.732018091560836
higher_for_longer,19,5.700217211929516,5.91537835861573,6.299680810679977,6.719216350592703,7.13567585253239,7.527867027761543,7.76431651848033
higher_for_longer,20,5.682305456357707,5.913895185718608,6.297181799298654,6.7304689214988365,7.171419382084327,7.548991676817998,7.79236340556253
higher_for_longer,21,5.692639138603472,5.929101618792553,6.309516373160984,6.743482347069329,7.1822027632552015,7.570522372047251,7.822040061251696
higher_for_longer,22,5.677735630174935,5.927713877580749,6.323953709491228,6.759382168527021,7.203041187488103,7.603620812559264,7.853101253389895
